SA2_code_usual_residence_address,SA22023_V1_00_NAME_usual_residence_address,SA2_usual_residence_easting,SA2_usual_residence_northing,SA2_code_educational_address,SA22023_V1_00_NAME_educational_institution_address,SA2_educational_easting,SA2_educational_northing,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,2018_Total_stated,2023_Total_stated
100100,North Cape,1579396.081,6181775.249,100100,North Cape,1579396.081,6181775.249,27,-999,45,-999,-999,12,60,-999,-999,-999,147,147
100200,Rangaunu Harbour,1612554.651,6136232.766,100200,Rangaunu Harbour,1612554.651,6136232.766,54,-999,42,-999,-999,-999,42,-999,-999,-999,147,147
100400,Karikari Peninsula,1634562.574,6127415.055,100400,Karikari Peninsula,1634562.574,6127415.055,12,-999,18,-999,-999,-999,24,-999,-999,-999,54,54
100500,Tangonge,1619918.067,6113278.371,100500,Tangonge,1619918.067,6113278.371,15,-999,12,-999,-999,-999,15,-999,-999,-999,45,45
100600,Ahipara,1614655.612,6109255.026,100600,Ahipara,1614655.612,6109255.026,9,-999,9,-999,-999,-999,-999,-999,-999,-999,27,27
100700,Kaitaia East,1624073.029,6115410.045,100700,Kaitaia East,1624073.029,6115410.045,27,9,30,-999,-999,21,27,-999,-999,-999,120,120
100800,Kaitaia West,1624343.92,6113419.018,100800,Kaitaia West,1624343.92,6113419.018,60,9,99,-999,-999,99,-999,-999,-999,-999,276,276
100900,Rangitihi,1628355.363,6112734.393,100900,Rangitihi,1628355.363,6112734.393,27,-999,6,-999,-999,-999,15,-999,-999,-999,48,48
101000,Oruru-Parapara,1642075.248,6123164.914,101000,Oruru-Parapara,1642075.248,6123164.914,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,18,18
101100,Taumarumaru,1646334.536,6127202.169,101100,Taumarumaru,1646334.536,6127202.169,27,-999,45,-999,-999,15,27,-999,-999,-999,114,114
101200,Herekino-Takahue,1633904.286,6105862.471,101200,Herekino-Takahue,1633904.286,6105862.471,12,-999,-999,-999,-999,-999,9,-999,-999,-999,24,24
101300,Peria,1640831.643,6113105.201,101300,Peria,1640831.643,6113105.201,18,-999,-999,-999,-999,-999,15,-999,-999,-999,39,39
101400,Taemaro-Oruaiti,1652809.938,6123992.451,101400,Taemaro-Oruaiti,1652809.938,6123992.451,18,-999,9,-999,-999,-999,-999,-999,-999,-999,33,33
101500,Whakapaku,1660463.444,6121224.839,101500,Whakapaku,1660463.444,6121224.839,15,-999,15,-999,-999,-999,-999,-999,-999,-999,27,27
101600,Hokianga North,1630740.628,6086036.9,101600,Hokianga North,1630740.628,6086036.9,-999,-999,6,-999,-999,-999,30,-999,-999,-999,51,51
101700,Kohukohu-Broadwood,1642157.015,6094690.117,101700,Kohukohu-Broadwood,1642157.015,6094690.117,18,-999,9,-999,-999,6,24,-999,-999,-999,57,57
101800,Whakarara,1677497.545,6119649.836,101800,Whakarara,1677497.545,6119649.836,18,-999,9,-999,-999,12,18,-999,-999,-999,60,60
101900,Kaeo,1667702.384,6109614.395,101900,Kaeo,1667702.384,6109614.395,27,-999,15,-999,-999,-999,24,-999,-999,-999,78,78
102000,Omahuta Forest-Horeke,1656177.385,6094804.978,102000,Omahuta Forest-Horeke,1656177.385,6094804.978,18,-999,6,-999,-999,-999,12,-999,-999,-999,42,42
102100,Hokianga South,1643948.142,6074946.173,102100,Hokianga South,1643948.142,6074946.173,18,-999,12,-999,-999,15,12,-999,-999,-999,63,63
102200,Lake Manuwai-Kapiro,1678789.755,6106356.023,102200,Lake Manuwai-Kapiro,1678789.755,6106356.023,27,-999,12,-999,-999,-999,-999,-999,-999,-999,39,39
102300,Okaihau,1671911.465,6094885.356,102300,Okaihau,1671911.465,6094885.356,18,-999,12,-999,-999,27,48,-999,-999,-999,111,111
102400,Rangitane-Purerua,1685559.532,6111672.79,102400,Rangitane-Purerua,1685559.532,6111672.79,30,-999,12,-999,-999,-999,12,-999,-999,-999,54,54
102500,Waipapa,1683593.395,6103289.363,102500,Waipapa,1683593.395,6103289.363,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,18,18
102600,Puketotara,1682176.185,6098662.919,102600,Puketotara,1682176.185,6098662.919,33,-999,21,-999,-999,-999,-999,-999,-999,-999,63,63
102700,Waima Forest,1657103.151,6072747.743,102700,Waima Forest,1657103.151,6072747.743,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,27,27
102800,Riverview,1687602.224,6103459.297,102800,Riverview,1687602.224,6103459.297,27,-999,75,-999,9,27,-999,-999,-999,-999,138,138
102900,Waipoua Forest,1646329.26,6062371.317,102900,Waipoua Forest,1646329.26,6062371.317,21,-999,15,-999,-999,-999,27,-999,-999,-999,66,66
103000,Kerikeri Central,1686540.007,6101582.465,103000,Kerikeri Central,1686540.007,6101582.465,30,-999,87,-999,9,114,-999,-999,-999,-999,252,252
103100,Kerikeri South,1687138.248,6099211.35,103100,Kerikeri South,1687138.248,6099211.35,48,-999,-999,-999,-999,-999,-999,-999,-999,-999,48,48
103200,Ohaeawai-Waimate North,1678149.09,6089443.304,103200,Ohaeawai-Waimate North,1678149.09,6089443.304,15,-999,27,-999,-999,-999,6,-999,-999,-999,54,54
103300,Puketona-Waitangi,1691027.982,6095455.082,103300,Puketona-Waitangi,1691027.982,6095455.082,18,-999,21,-999,-999,-999,-999,-999,-999,-999,42,42
103400,Ngapuhi,1669478.821,6079795.797,103400,Ngapuhi,1669478.821,6079795.797,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,30
103500,Kaikohe,1672426.872,6081426.043,103500,Kaikohe,1672426.872,6081426.043,69,27,189,-999,-999,204,-999,-999,-999,6,504,504
103600,Pakaraka,1689431.874,6085760.337,103600,Pakaraka,1689431.874,6085760.337,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,24,24
103700,Haruru,1696327.144,6095465.699,103700,Haruru,1696327.144,6095465.699,21,-999,-999,-999,-999,-999,-999,-999,-999,-999,24,24
103800,Russell,1702290.33,6097927.835,103800,Russell,1702290.33,6097927.835,12,-999,12,-999,-999,18,-999,-999,-999,-999,45,45
103900,Paihia,1699402.407,6094681.109,103900,Paihia,1699402.407,6094681.109,18,-999,15,-999,-999,15,18,-999,-999,-999,66,66
104000,Mataraua Forest,1672999.136,6065978.467,104000,Mataraua Forest,1672999.136,6065978.467,9,-999,-999,-999,-999,-999,18,-999,-999,-999,27,27
104100,Matawaia-Taumarere,1686407.631,6071747.76,104100,Matawaia-Taumarere,1686407.631,6071747.76,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,12
104200,Russell Peninsula,1705691.192,6094532.828,104200,Russell Peninsula,1705691.192,6094532.828,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
104300,Opua (Far North District),1699985.572,6090614.537,104300,Opua (Far North District),1699985.572,6090614.537,18,-999,24,-999,-999,-999,-999,-999,-999,-999,42,42
104400,Russell Forest-Rawhiti,1711378.574,6085368.234,104400,Russell Forest-Rawhiti,1711378.574,6085368.234,9,-999,-999,-999,-999,-999,9,-999,-999,-999,30,30
104500,Moerewa,1693111.356,6083919.921,104500,Moerewa,1693111.356,6083919.921,27,-999,30,-999,-999,36,9,-999,-999,-999,105,105
104600,Kawakawa,1697711.591,6084397.408,104600,Kawakawa,1697711.591,6084397.408,24,-999,42,-999,-999,60,6,-999,-999,-999,138,138
104700,Maromaku,1703540.68,6073319.553,104700,Maromaku,1703540.68,6073319.553,18,-999,15,-999,-999,-999,18,-999,-999,-999,57,57
104800,Mangakahia-Hukerenui,1690731.954,6054073.027,104800,Mangakahia-Hukerenui,1690731.954,6054073.027,42,-999,12,-999,-999,6,57,-999,-999,-999,114,114
104900,Whangaruru,1721095.04,6071805.342,104900,Whangaruru,1721095.04,6071805.342,51,-999,6,-999,-999,9,45,-999,-999,-999,111,111
105100,Matarau,1709501.66,6052279.031,105100,Matarau,1709501.66,6052279.031,60,-999,96,-999,-999,6,51,-999,-999,-999,216,216
105200,Hikurangi,1716603.02,6060265.399,105200,Hikurangi,1716603.02,6060265.399,18,-999,51,-999,12,51,-999,-999,-999,-999,132,132
105300,Kauri,1716506.553,6056388.259,105300,Kauri,1716506.553,6056388.259,12,-999,63,-999,-999,6,-999,-999,-999,-999,84,84
