Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Total - New Zealand by Regional Council","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1150833,
"Total - New Zealand by Regional Council","Study at home","Total people - age group","Total people - sex","2018",61557,
"Total - New Zealand by Regional Council","Bicycle","Total people - age group","Total people - sex","2018",41454,
"Total - New Zealand by Regional Council","Walk or jog","Total people - age group","Total people - sex","2018",235842,
"Total - New Zealand by Regional Council","Public bus","Total people - age group","Total people - sex","2018",82152,
"Total - New Zealand by Regional Council","Train","Total people - age group","Total people - sex","2018",21864,
"Total - New Zealand by Territorial Authority/SA2","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1150833,
"Total - New Zealand by Territorial Authority/SA2","Study at home","Total people - age group","Total people - sex","2018",61557,
"Total - New Zealand by Territorial Authority/SA2","Bicycle","Total people - age group","Total people - sex","2018",41454,
"Total - New Zealand by Territorial Authority/SA2","Walk or jog","Total people - age group","Total people - sex","2018",235842,
"Total - New Zealand by Territorial Authority/SA2","Public bus","Total people - age group","Total people - sex","2018",82152,
"Total - New Zealand by Territorial Authority/SA2","Train","Total people - age group","Total people - sex","2018",21864,
"Northland Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",39315,
"Northland Region","Study at home","Total people - age group","Total people - sex","2018",2829,
"Northland Region","Bicycle","Total people - age group","Total people - sex","2018",486,
"Northland Region","Walk or jog","Total people - age group","Total people - sex","2018",4617,
"Northland Region","Public bus","Total people - age group","Total people - sex","2018",513,
"Northland Region","Train","Total people - age group","Total people - sex","2018",15,
"Auckland Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",404565,
"Auckland Region","Study at home","Total people - age group","Total people - sex","2018",15624,
"Auckland Region","Bicycle","Total people - age group","Total people - sex","2018",6036,
"Auckland Region","Walk or jog","Total people - age group","Total people - sex","2018",84651,
"Auckland Region","Public bus","Total people - age group","Total people - sex","2018",46464,
"Auckland Region","Train","Total people - age group","Total people - sex","2018",15381,
"Waikato Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",111555,
"Waikato Region","Study at home","Total people - age group","Total people - sex","2018",6486,
"Waikato Region","Bicycle","Total people - age group","Total people - sex","2018",4227,
"Waikato Region","Walk or jog","Total people - age group","Total people - sex","2018",19413,
"Waikato Region","Public bus","Total people - age group","Total people - sex","2018",4794,
"Waikato Region","Train","Total people - age group","Total people - sex","2018",48,
"Bay of Plenty Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",69948,
"Bay of Plenty Region","Study at home","Total people - age group","Total people - sex","2018",4245,
"Bay of Plenty Region","Bicycle","Total people - age group","Total people - sex","2018",3945,
"Bay of Plenty Region","Walk or jog","Total people - age group","Total people - sex","2018",10821,
"Bay of Plenty Region","Public bus","Total people - age group","Total people - sex","2018",2205,
"Bay of Plenty Region","Train","Total people - age group","Total people - sex","2018",15,
"Gisborne Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",12000,
"Gisborne Region","Study at home","Total people - age group","Total people - sex","2018",708,
"Gisborne Region","Bicycle","Total people - age group","Total people - sex","2018",435,
"Gisborne Region","Walk or jog","Total people - age group","Total people - sex","2018",1968,
"Gisborne Region","Public bus","Total people - age group","Total people - sex","2018",111,
