Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Total - New Zealand by Regional Council/SA2","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1150833,
"Total - New Zealand by Regional Council/SA2","Study at home","Total people - age group","Total people - sex","2018",61557,
"Total - New Zealand by Regional Council/SA2","Drive a car, truck or van","Total people - age group","Total people - sex","2018",128223,
"Total - New Zealand by Regional Council/SA2","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",449604,
"Total - New Zealand by Regional Council/SA2","Bicycle","Total people - age group","Total people - sex","2018",41454,
"Total - New Zealand by Regional Council/SA2","Walk or jog","Total people - age group","Total people - sex","2018",235842,
"Total - New Zealand by Regional Council/SA2","School bus","Total people - age group","Total people - sex","2018",113400,
"Total - New Zealand by Regional Council/SA2","Public bus","Total people - age group","Total people - sex","2018",82152,
"Total - New Zealand by Regional Council/SA2","Train","Total people - age group","Total people - sex","2018",21864,
"Total - New Zealand by Regional Council/SA2","Ferry","Total people - age group","Total people - sex","2018",1548,
"Total - New Zealand by Regional Council/SA2","Other","Total people - age group","Total people - sex","2018",15183,
"Total - New Zealand by Territorial Authority/SA2","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1150833,
"Total - New Zealand by Territorial Authority/SA2","Study at home","Total people - age group","Total people - sex","2018",61557,
"Total - New Zealand by Territorial Authority/SA2","Drive a car, truck or van","Total people - age group","Total people - sex","2018",128223,
"Total - New Zealand by Territorial Authority/SA2","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",449604,
"Total - New Zealand by Territorial Authority/SA2","Bicycle","Total people - age group","Total people - sex","2018",41454,
"Total - New Zealand by Territorial Authority/SA2","Walk or jog","Total people - age group","Total people - sex","2018",235842,
"Total - New Zealand by Territorial Authority/SA2","School bus","Total people - age group","Total people - sex","2018",113400,
"Total - New Zealand by Territorial Authority/SA2","Public bus","Total people - age group","Total people - sex","2018",82152,
"Total - New Zealand by Territorial Authority/SA2","Train","Total people - age group","Total people - sex","2018",21864,
"Total - New Zealand by Territorial Authority/SA2","Ferry","Total people - age group","Total people - sex","2018",1548,
"Total - New Zealand by Territorial Authority/SA2","Other","Total people - age group","Total people - sex","2018",15183,
"Total - New Zealand by District Health Board","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1150833,
"Total - New Zealand by District Health Board","Study at home","Total people - age group","Total people - sex","2018",61557,
"Total - New Zealand by District Health Board","Drive a car, truck or van","Total people - age group","Total people - sex","2018",128223,
"Total - New Zealand by District Health Board","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",449604,
