"SA22023_V1_00","SA22023_V1_00_NAME","SA22023_V1_00_NAME_ASCII","leave_SA2","ur_address_18","edu_address_18","ur_address_23","edu_address_23"
"100100","North Cape","North Cape","0",147,147,201,201
"100100","North Cape","North Cape","1",105,9,108,21
"100100","North Cape","North Cape","total",252,153,309,219
"100200","Rangaunu Harbour","Rangaunu Harbour","0",147,147,171,171
"100200","Rangaunu Harbour","Rangaunu Harbour","1",228,72,261,66
"100200","Rangaunu Harbour","Rangaunu Harbour","total",372,219,435,237
"100400","Karikari Peninsula","Karikari Peninsula","0",54,54,78,78
"100400","Karikari Peninsula","Karikari Peninsula","1",75,45,120,51
"100400","Karikari Peninsula","Karikari Peninsula","total",129,99,198,129
"100500","Tangonge","Tangonge","0",45,45,54,54
"100500","Tangonge","Tangonge","1",156,147,165,120
"100500","Tangonge","Tangonge","total",198,189,219,168
"100600","Ahipara","Ahipara","0",27,27,42,42
"100600","Ahipara","Ahipara","1",165,33,159,-999
"100600","Ahipara","Ahipara","total",189,57,201,45
"100700","Kaitāia East","Kaitaia East","0",120,120,144,144
"100700","Kaitāia East","Kaitaia East","1",228,348,252,390
"100700","Kaitāia East","Kaitaia East","total",345,465,396,537
"100800","Kaitāia West","Kaitaia West","0",276,276,288,288
"100800","Kaitāia West","Kaitaia West","1",270,738,249,780
"100800","Kaitāia West","Kaitaia West","total",546,1014,537,1068
"100900","Rangitihi","Rangitihi","0",48,48,57,57
"100900","Rangitihi","Rangitihi","1",111,120,102,198
"100900","Rangitihi","Rangitihi","total",159,165,162,258
"101000","Oruru-Parapara","Oruru-Parapara","0",18,18,24,24
"101000","Oruru-Parapara","Oruru-Parapara","1",99,-999,87,-999
"101000","Oruru-Parapara","Oruru-Parapara","total",117,18,114,24
"101101","Doubtless Bay","Doubtless Bay","0",114,114,207,207
"101101","Doubtless Bay","Doubtless Bay","1",87,153,123,186
"101101","Doubtless Bay","Doubtless Bay","total",201,264,330,396
"101200","Herekino-Takahue","Herekino-Takahue","0",24,24,54,54
"101200","Herekino-Takahue","Herekino-Takahue","1",129,-999,129,-999
"101200","Herekino-Takahue","Herekino-Takahue","total",150,24,186,57
"101300","Peria","Peria","0",39,39,57,57
"101300","Peria","Peria","1",102,12,105,15
"101300","Peria","Peria","total",138,48,162,72
"101400","Taemaro-Oruaiti","Taemaro-Oruaiti","0",33,33,54,54
"101400","Taemaro-Oruaiti","Taemaro-Oruaiti","1",66,57,78,78
"101400","Taemaro-Oruaiti","Taemaro-Oruaiti","total",99,93,135,132
"101500","Whakapaku","Whakapaku","0",27,27,36,36
"101500","Whakapaku","Whakapaku","1",75,36,63,24
"101500","Whakapaku","Whakapaku","total",105,63,96,57
"101600","Hokianga North","Hokianga North","0",51,51,72,72
"101600","Hokianga North","Hokianga North","1",45,-999,45,9
"101600","Hokianga North","Hokianga North","total",93,54,114,81
"101700","Kohukohu-Broadwood","Kohukohu-Broadwood","0",57,57,42,42
"101700","Kohukohu-Broadwood","Kohukohu-Broadwood","1",27,36,21,30
"101700","Kohukohu-Broadwood","Kohukohu-Broadwood","total",87,90,66,72
"101801","Whakarara","Whakarara","0",60,60,66,66
"101801","Whakarara","Whakarara","1",126,-999,114,27
"101801","Whakarara","Whakarara","total",186,63,180,96
"101900","Kāeo","Kaeo","0",78,78,96,96
"101900","Kāeo","Kaeo","1",90,84,90,84
"101900","Kāeo","Kaeo","total",168,162,189,180
"102000","Omahuta Forest-Horeke","Omahuta Forest-Horeke","0",42,42,48,48
"102000","Omahuta Forest-Horeke","Omahuta Forest-Horeke","1",90,-999,93,-999
"102000","Omahuta Forest-Horeke","Omahuta Forest-Horeke","total",132,45,141,51
"102100","Hokianga South","Hokianga South","0",63,63,87,87
"102100","Hokianga South","Hokianga South","1",54,27,54,57
"102100","Hokianga South","Hokianga South","total",117,93,144,144
"102201","Lake Manuwai-Kapiro","Lake Manuwai-Kapiro","0",39,39,48,48
"102201","Lake Manuwai-Kapiro","Lake Manuwai-Kapiro","1",327,42,315,48
"102201","Lake Manuwai-Kapiro","Lake Manuwai-Kapiro","total",366,78,360,96
"102300","Ōkaihau","Okaihau","0",111,111,105,105
"102300","Ōkaihau","Okaihau","1",93,297,123,231
"102300","Ōkaihau","Okaihau","total",204,408,228,336
"102401","Rangitane-Purerua","Rangitane-Purerua","0",54,54,45,45
"102401","Rangitane-Purerua","Rangitane-Purerua","1",207,51,177,33
"102401","Rangitane-Purerua","Rangitane-Purerua","total",261,105,222,78
"102501","Waipapa","Waipapa","0",15,15,21,21
"102501","Waipapa","Waipapa","1",138,6,135,45
"102501","Waipapa","Waipapa","total",156,21,156,69
"102600","Puketotara","Puketotara","0",63,63,87,87
"102600","Puketotara","Puketotara","1",258,282,264,195
"102600","Puketotara","Puketotara","total",318,345,351,279
"102700","Waimā Forest","Waima Forest","0",27,27,57,57
"102700","Waimā Forest","Waima Forest","1",96,21,81,27
"102700","Waimā Forest","Waima Forest","total",123,45,138,84
"102801","Riverview","Riverview","0",141,141,177,177
"102801","Riverview","Riverview","1",243,246,342,228
"102801","Riverview","Riverview","total",384,387,519,405
"102900","Waipoua Forest","Waipoua Forest","0",66,66,84,84
"102900","Waipoua Forest","Waipoua Forest","1",51,12,51,24
"102900","Waipoua Forest","Waipoua Forest","total",120,81,135,108
"103000","Kerikeri Central","Kerikeri Central","0",252,252,324,324
"103000","Kerikeri Central","Kerikeri Central","1",63,1428,57,1434
"103000","Kerikeri Central","Kerikeri Central","total",312,1680,384,1755
"103101","Kerikeri South","Kerikeri South","0",48,48,69,69
"103101","Kerikeri South","Kerikeri South","1",369,-999,333,-999
