Area,Ethnic group,Number of languages spoken,Age group,Sex,Year,Value,Flags
"Onehunga North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",351,
"Ellerslie East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2049,
"Ellerslie East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",201,
"Saint Johns East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1476,
"Saint Johns East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",246,
"Oneroa West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1308,
"Oneroa West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",147,
"Glen Innes West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1725,
"Glen Innes West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",918,
"Ellerslie South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",177,
"Onehunga North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2133,
"Ellerslie West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Ellerslie West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",87,
"Onehunga West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",396,
"Onehunga West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2361,
"Glendowie North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",189,
"Glendowie North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3855,
"Remuera Waiatarua","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",102,
"Remuera Waiatarua","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1353,
"Greenlane South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",264,
"Greenlane South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2157,
"Saint Johns West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",111,
"Saint Johns West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1749,
"Hillsborough South (Auckland)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",198,
"Hillsborough South (Auckland)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1530,
"Saint Heliers South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",183,
"Saint Heliers South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3210,
"Royal Oak East (Auckland)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",165,
"Royal Oak East (Auckland)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1320,
"Ellerslie Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",252,
"Ellerslie Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2208,
"Meadowbank East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",132,
"Meadowbank East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1950,
"Remuera Abbotts Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",192,
"Remuera Abbotts Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2514,
"Saint Heliers North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",144,
"Saint Heliers North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3405,
"Hillsborough East (Auckland)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",135,
"Hillsborough East (Auckland)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",819,
"One Tree Hill","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",384,
"One Tree Hill","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2943,
"Saint Heliers West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",156,
"Saint Heliers West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3069,
"Royal Oak West (Auckland)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",132,
"Royal Oak West (Auckland)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1284,
"Waikowhai South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",87,
"Waikowhai South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",879,
"Remuera East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",123,
"Remuera East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2286,
"Waikowhai North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",279,
"Waikowhai North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",681,
"Greenlane North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",192,
"Greenlane North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2160,
"Hillsborough West (Auckland)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",150,
"Hillsborough West (Auckland)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",942,
"Hillsborough North (Auckland)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",174,
"Hillsborough North (Auckland)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1503,
