SA32023_V1_00_usual_residence_address,SA32023_V1_00_NAME_usual_residence_address,SA32023_V1_00_NAME_ASCII_usual_residence_address,SA32023_V1_00_educational_institution_address,SA32023_V1_00_NAME_educational_institution_address,SA32023_V1_00_NAME_ASCII_educational_institution_address,2018_Study_at_home,2018_Drive_a_car_truck_or_van,2018_Passenger_in_a_car_truck_or_van,2018_Bicycle,2018_Walk_or_jog,2018_School_bus,2018_Public_bus,2018_Train,2018_Ferry,2018_Other,2018_Total_stated,2023_Study_at_home,2023_Drive_a_car_truck_or_van,2023_Passenger_in_a_car_truck_or_van,2023_Bicycle,2023_Walk_or_jog,2023_School_bus,2023_Public_bus,2023_Train,2023_Ferry,2023_Other,2023_Total_stated
50010,Te Hiku,Te Hiku,50010,Te Hiku,Te Hiku,132,6,204,12,27,159,-999,-999,-999,-999,546,231,6,213,-999,30,156,6,-999,-999,-999,648
50010,Te Hiku,Te Hiku,50030,Doubtless Bay,Doubtless Bay,-999,-999,6,-999,-999,12,-999,-999,-999,-999,18,-999,-999,6,-999,-999,9,-999,-999,-999,-999,21
50010,Te Hiku,Te Hiku,50070,Kaitāia,Kaitaia,-999,45,168,-999,-999,303,-999,-999,-999,-999,528,-999,78,225,-999,-999,267,9,-999,-999,-999,585
50010,Te Hiku,Te Hiku,50100,Kerikeri Rural,Kerikeri Rural,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50010,Te Hiku,Te Hiku,50130,Kaikohe-Ngapuhi,Kaikohe-Ngapuhi,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50010,Te Hiku,Te Hiku,50240,Whangārei Centre,Whangarei Centre,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,6,-999,-999,6,-999,-999,-999,-999,-999,12
50010,Te Hiku,Te Hiku,50290,Raumanga-Port Whangārei,Raumanga-Port Whangarei,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
50010,Te Hiku,Te Hiku,51150,Auckland City Centre,Auckland City Centre,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50010,Te Hiku,Te Hiku,51570,Onehunga,Onehunga,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6
50030,Doubtless Bay,Doubtless Bay,50010,Te Hiku,Te Hiku,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,15,-999,-999,18,-999,-999,15,-999,-999,-999,-999,39
50030,Doubtless Bay,Doubtless Bay,50030,Doubtless Bay,Doubtless Bay,75,-999,120,-999,15,153,-999,-999,-999,-999,369,156,6,171,-999,9,216,-999,-999,-999,-999,567
50030,Doubtless Bay,Doubtless Bay,50040,Whangaroa,Whangaroa,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,12
50030,Doubtless Bay,Doubtless Bay,50050,Herekino-Takahue-Peria,Herekino-Takahue-Peria,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,12
50030,Doubtless Bay,Doubtless Bay,50070,Kaitāia,Kaitaia,-999,9,18,-999,-999,60,-999,-999,-999,-999,90,-999,21,36,-999,-999,39,-999,-999,-999,-999,99
50030,Doubtless Bay,Doubtless Bay,50120,Kerikeri,Kerikeri,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
50030,Doubtless Bay,Doubtless Bay,50240,Whangārei Centre,Whangarei Centre,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
