"SA32023_V1_00_usual_residence_address","SA32023_V1_00_NAME_usual_residence_address","SA32023_V1_00_NAME_ASCII_usual_residence_address","SA32023_V1_00_workplace_address","SA32023_V1_00_NAME_workplace_address","SA32023_V1_00_NAME_ASCII_workplace_address","2018_Work_at_home","2018_Drive_a_private_car_truck_or_van","2018_Drive_a_company_car_truck_or_van","2018_Passenger_in_a_car_truck_van_or_company_bus","2018_Public_bus","2018_Train","2018_Bicycle","2018_Walk_or_jog","2018_Ferry","2018_Other","2018_Total_stated","2023_Work_at_home","2023_Drive_a_private_car_truck_or_van","2023_Drive_a_company_car_truck_or_van","2023_Passenger_in_a_car_truck_van_or_company_bus","2023_Public_bus","2023_Train","2023_Bicycle","2023_Walk_or_jog","2023_Ferry","2023_Other","2023_Total_stated"
"50010","Te Hiku","Te Hiku","Total","Total","Total",621,1422,285,93,6,3,6,69,3,27,2523,741,1635,411,96,0,0,9,57,0,24,2976
"Total","Total","Total","50010","Te Hiku","Te Hiku",621,693,192,78,3,0,3,54,3,18,1662,741,825,222,75,0,0,6,60,0,18,1947
"50020","Inlets Far North District","Inlets Far North District","Total","Total","Total",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
"Total","Total","Total","50020","Inlets Far North District","Inlets Far North District",-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,-999,12,6,-999,-999,-999,-999,-999,-999,-999,21
"50030","Doubtless Bay","Doubtless Bay","Total","Total","Total",420,804,183,66,3,0,3,33,3,6,1524,699,1068,243,51,6,0,6,36,0,9,2118
"Total","Total","Total","50030","Doubtless Bay","Doubtless Bay",420,540,114,54,0,0,3,36,0,9,1176,699,627,126,33,0,0,3,33,0,9,1527
"50040","Whangaroa","Whangaroa","Total","Total","Total",342,537,87,33,0,0,3,21,0,15,1035,396,588,117,27,0,0,3,12,0,9,1149
"Total","Total","Total","50040","Whangaroa","Whangaroa",342,306,45,21,0,0,3,18,0,9,744,396,372,66,18,0,0,3,12,0,6,870
"50050","Herekino-Takahue-Peria","Herekino-Takahue-Peria","Total","Total","Total",213,354,66,15,3,0,0,3,3,6,657,273,411,87,15,3,0,0,6,0,3,798
"Total","Total","Total","50050","Herekino-Takahue-Peria","Herekino-Takahue-Peria",213,42,9,0,0,0,0,0,0,6,270,273,48,24,6,0,0,3,3,0,0,357
