"SA32023_V1_00","leave_SA3","ur_address_18","wp_address_18","ur_address_23","wp_address_23"
"50010","0",1257,1257,1479,1479
"50010","1",1263,405,1494,465
"50010","total",2523,1662,2976,1947
"50020","0",-999,-999,-999,-999
"50020","1",-999,12,9,21
"50020","total",9,18,9,21
"50030","0",924,924,1302,1302
"50030","1",597,252,819,228
"50030","total",1524,1176,2118,1527
"50040","0",624,624,660,660
"50040","1",414,120,492,210
"50040","total",1035,744,1149,870
"50050","0",243,243,315,315
"50050","1",414,27,486,45
"50050","total",657,270,798,357
"50060","0",1002,1002,1188,1188
"50060","1",462,120,624,144
"50060","total",1464,1122,1812,1332
"50070","0",1122,1122,1308,1308
"50070","1",345,1893,417,2277
"50070","total",1464,3015,1725,3588
"50080","0",531,531,675,675
"50080","1",915,360,981,420
"50080","total",1446,891,1659,1095
"50090","0",1488,1488,1809,1809
"50090","1",1335,606,1692,687
"50090","total",2826,2097,3504,2499
"50100","0",471,471,639,639
"50100","1",591,837,672,1143
"50100","total",1062,1308,1308,1779
"50110","0",1869,1869,2142,2142
"50110","1",795,726,1023,786
"50110","total",2664,2595,3165,2925
"50120","0",1698,1698,2142,2142
"50120","1",837,1953,984,2211
"50120","total",2535,3654,3129,4353
"50130","0",822,822,1137,1137
"50130","1",519,957,621,1092
"50130","total",1341,1776,1758,2229
"50140","0",1290,1290,1473,1473
"50140","1",1656,618,1917,774
"50140","total",2949,1908,3390,2247
"50160","0",1455,1455,1932,1932
"50160","1",2874,459,3126,549
"50160","total",4332,1914,5061,2484
"50170","0",1119,1119,1344,1344
"50170","1",2253,429,2664,507
"50170","total",3372,1548,4011,1854
"50180","0",894,894,1185,1185
"50180","1",2649,1425,3243,1632
"50180","total",3540,2319,4428,2817
"50190","0",342,342,477,477
"50190","1",1740,483,2346,576
"50190","total",2085,825,2823,1053
"50200","0",600,600,639,639
"50200","1",1041,345,1155,366
"50200","total",1641,945,1797,1002
"50210","0",78,78,93,93
"50210","1",312,96,369,123
"50210","total",390,171,465,216
"50220","0",171,171,225,225
"50220","1",858,303,993,354
"50220","total",1029,477,1221,579
"50230","0",501,501,540,540
"50230","1",1551,1170,1836,1266
"50230","total",2052,1671,2373,1803
"50240","0",645,645,708,708
"50240","1",585,9039,741,10605
"50240","total",1227,9681,1446,11313
"50250","0",135,135,189,189
"50250","1",777,153,795,219
"50250","total",909,288,984,408
"50260","0",183,183,183,183
"50260","1",858,342,1053,489
"50260","total",1041,525,1233,672
"50270","0",183,183,246,246
"50270","1",384,1719,471,2478
"50270","total",564,1902,717,2724
"50280","0",162,162,219,219
"50280","1",741,384,900,423
"50280","total",906,549,1119,642
"50290","0",537,537,570,570
"50290","1",987,4020,1287,4644
"50290","total",1527,4557,1860,5214
"50300","0",426,426,558,558
"50300","1",1842,306,2016,309
"50300","total",2265,729,2574,870
"50310","0",1371,1371,1896,1896
"50310","1",1053,885,1446,942
"50310","total",2427,2256,3345,2841
"50320","0",555,555,789,789
"50320","1",384,243,585,342
"50320","total",939,798,1374,1128
"50330","0",3390,3390,3663,3663
"50330","1",273,339,639,582
"50330","total",3666,3729,4302,4248
"50340","0",1908,1908,2334,2334
"50340","1",621,435,1083,645
"50340","total",2529,2343,3417,2979
"50350","0",1062,1062,1863,1863
"50350","1",513,228,909,498
"50350","total",1575,1290,2772,2364
"50380","0",288,288,459,459
"50380","1",39,15,57,33
"50380","total",330,303,516,492
"50390","0",2058,2058,2640,2640
"50390","1",1707,1119,1668,1599
"50390","total",3765,3177,4308,4242
"50400","0",12,12,-999,-999
"50400","1",24,9,-999,30
"50400","total",36,21,9,33
"50410","0",1266,1266,1752,1752
"50410","1",2751,717,2883,849
"50410","total",4017,1983,4632,2598
"50420","0",1161,1161,1659,1659
"50420","1",1098,2064,1206,2400
"50420","total",2259,3222,2865,4059
"50430","0",756,756,996,996
"50430","1",1416,372,1398,378
"50430","total",2175,1128,2394,1374
"50440","0",381,381,591,591
"50440","1",1329,264,1248,312
"50440","total",1707,642,1839,903
"50460","0",1260,1260,1734,1734
"50460","1",2766,600,2640,810
"50460","total",4023,1857,4377,2547
"50470","0",492,492,780,780
"50470","1",1542,327,1557,378
"50470","total",2034,819,2340,1161
"50480","0",1059,1059,2133,2133
"50480","1",2661,2010,3366,2358
"50480","total",3717,3066,5499,4491
"50490","0",111,111,234,234
"50490","1",663,36,537,57
"50490","total",774,144,771,291
"50500","0",864,864,1242,1242
"50500","1",1902,687,2070,876
"50500","total",2766,1551,3315,2121
"50510","0",522,522,969,969
"50510","1",1782,498,1950,504
"50510","total",2304,1023,2919,1470
"50520","0",726,726,2442,2442
"50520","1",2199,4455,3180,6240
"50520","total",2925,5178,5625,8682
"50530","0",561,561,849,849
"50530","1",1683,735,1674,963
"50530","total",2244,1299,2523,1812
"50540","0",717,717,1308,1308
"50540","1",2907,810,3183,978
"50540","total",3621,1524,4491,2286
"50550","0",477,477,1032,1032
"50550","1",1992,690,1818,327
"50550","total",2472,1170,2853,1359
"50560","0",186,186,342,342
"50560","1",666,54,570,111
"50560","total",849,237,912,453
"50570","0",981,981,1731,1731
"50570","1",3630,1455,3516,1701
"50570","total",4614,2436,5250,3435
"50580","0",546,546,864,864
"50580","1",1980,414,1878,414
"50580","total",2529,960,2745,1275
"50590","0",168,168,312,312
"50590","1",801,96,762,81
"50590","total",969,264,1077,396
"50600","0",138,138,216,216
"50600","1",558,42,474,42
"50600","total",693,180,690,261
"50610","0",1005,1005,2028,2028
"50610","1",2442,2640,3417,3051
"50610","total",3447,3645,5445,5082
"50620","0",1065,1065,2043,2043
"50620","1",3312,8049,3747,8751
"50620","total",4380,9114,5790,10794
"50630","0",387,387,564,564
"50630","1",1296,1008,1158,615
"50630","total",1680,1395,1722,1176
"50640","0",255,255,495,495
"50640","1",1551,219,1539,258
"50640","total",1806,474,2037,753
"50650","0",705,705,1392,1392
"50650","1",3471,522,3375,561
"50650","total",4176,1224,4764,1953
"50660","0",117,117,570,570
"50660","1",528,216,981,411
"50660","total",645,333,1551,984
"50670","0",1233,1233,2358,2358
"50670","1",6603,687,5964,735
"50670","total",7836,1923,8322,3090
"50680","0",189,189,423,423
"50680","1",1371,306,1371,261
"50680","total",1563,498,1797,684
"50690","0",195,195,423,423
"50690","1",1434,321,1296,345
"50690","total",1629,513,1722,771
"50700","0",264,264,618,618
