sa2_code,sa2_name,dhb,pop_cnt,dose1_cnt,dose2_cnt,dose1_uptake,dose2_uptake
100100,North Cape,Northland,820,704,629, 859 , 767 
100200,Rangaunu Harbour,Northland,986,770,625, 781 , 634 
100400,Karikari Peninsula,Northland,511,371,281, 726 , 550 
100500,Tangonge,Northland,538,427,371, 794 , 690 
100600,Ahipara,Northland,576,442,367, 767 , 637 
100700,Kaitaia East,Northland,1296,972,687, 750 , 530 
100800,Kaitaia West,Northland,1834,1394,1010, 760 , 551 
100900,Rangitihi,Northland,375,275,209, 733 , 557 
101000,Oruru-Parapara,Northland,309,229,166, 741 , 537 
101100,Taumarumaru,Northland,558,443,357, 794 , 640 
101200,Herekino-Takahue,Northland,398,285,214, 716 , 538 
101300,Peria,Northland,340,240,176, 706 , 518 
101400,Taemaro-Oruaiti,Northland,294,198,156, 673 , 531 
101500,Whakapaku,Northland,263,179,146, 681 , 555 
101600,Hokianga North,Northland,621,489,426, 787 , 686 
101700,Kohukohu-Broadwood,Northland,360,264,220, 733 , 611 
101800,Whakarara,Northland,518,428,361, 826 , 697 
101900,Kaeo,Northland,428,291,247, 680 , 577 
102000,Omahuta Forest-Horeke,Northland,611,381,298, 624 , 488 
102100,Hokianga South,Northland,672,447,356, 665 , 530 
102200,Lake Manuwai-Kapiro,Northland,243,173,134, 712 , 551 
102300,Okaihau,Northland,289,224,177, 775 , 612 
102400,Rangitane-Purerua,Northland,321,250,203, 779 , 632 
102500,Waipapa,Northland,114,83,61, 728 , 535 
102600,Puketotara,Northland,217,177,152, 816 , 700 
102700,Waima Forest,Northland,759,505,373, 665 , 491 
102800,Riverview,Northland,217,186,157, 857 , 724 
102900,Waipoua Forest,Northland,612,418,341, 683 , 557 
103000,Kerikeri Central,Northland,441,341,262, 773 , 594 
103100,Kerikeri South,Northland,224,182,146, 813 , 652 
103200,Ohaeawai-Waimate North,Northland,408,324,275, 794 , 674 
103300,Puketona-Waitangi,Northland,272,220,200, 809 , 735 
103400,Ngapuhi,Northland,928,647,510, 697 , 550 
103500,Kaikohe,Northland,2712,1859,1466, 685 , 541 
103600,Pakaraka,Northland,140,108,84, 771 , 600 
103700,Haruru,Northland,209,165,140, 789 , 670 
103800,Russell,Northland,132,119,111, 902 , 841 
103900,Paihia,Northland,470,346,279, 736 , 594 
104000,Mataraua Forest,Northland,331,235,172, 710 , 520 
104100,Matawaia-Taumarere,Northland,776,536,421, 691 , 543 
104200,Russell Peninsula,Northland,70,47,42, 671 , 600 
104300,Opua (Far North District),Northland,179,131,105, 732 , 587 
104400,Russell Forest-Rawhiti,Northland,378,282,250, 746 , 661 
104500,Moerewa,Northland,1169,880,735, 753 , 629 
104600,Kawakawa,Northland,807,617,499, 765 , 618 
104700,Maromaku,Northland,240,169,132, 704 , 550 
104800,Mangakahia-Hukerenui,Northland,574,445,352, 775 , 613 
104900,Whangaruru,Northland,631,508,404, 805 , 640 
105100,Matarau,Northland,355,276,227, 777 , 639 
105200,Hikurangi,Northland,455,337,277, 741 , 609 
105300,Kauri,Northland,224,186,158, 830 , 705 
105400,Maungatapere,Northland,416,343,299, 825 , 719 
105500,Kamo West,Northland,384,322,269, 839 , 701 
105600,Matapouri-Tutukaka,Northland,214,169,143, 790 , 668 
105700,Kiripaka,Northland,184,136,113, 739 , 614 
105800,Kamo East,Northland,885,669,536, 756 , 606 
105900,Granfield Reserve,Northland,451,382,314, 847 , 696 
106000,Kamo Central,Northland,395,327,264, 828 , 668 
106100,Whau Valley,Northland,590,483,405, 819 , 686 
106200,Tikipunga North,Northland,967,762,588, 788 , 608 
106300,Pukenui,Northland,172,143,121, 831 , 703 
