sa2_code,sa2_name,dhb,pop_cnt,dose1_cnt,dose2_cnt,dose1_uptake,dose2_uptake
100700,Kaitaia East,Northland,49,Masked,36, >950 , 735 
100800,Kaitaia West,Northland,102,88,72, 863 , 706 
103000,Kerikeri Central,Northland,56,Masked,Masked, >950 , >950 
103500,Kaikohe,Northland,104,78,62, 750 , 596 
105800,Kamo East,Northland,101,85,73, 842 , 723 
106200,Tikipunga North,Northland,70,49,36, 700 , 514 
106400,Otangarei,Northland,50,35,30, 700 , 600 
106500,Tikipunga South,Northland,80,67,47, 838 , 588 
106600,Kensington (Whangarei District),Northland,56,Masked,50, >950 , 893 
106800,Mairtown,Northland,56,43,37, 768 , 661 
107000,Woodhill-Vinetown,Northland,82,69,60, 841 , 732 
107200,Riverside,Northland,45,38,35, 844 , 778 
107300,Raumanga,Northland,89,74,62, 831 , 697 
107500,Morningside (Whangarei District),Northland,51,40,35, 784 , 686 
108200,Sherwood Rise,Northland,47,Masked,36, >950 , 766 
108300,Onerahi,Northland,52,37,30, 712 , 577 
108800,Ruakaka,Northland,53,43,39, 811 , 736 
109100,Kaipara Coastal,Northland,43,29,23, 674 , 535 
109300,Dargaville,Northland,204,167,134, 819 , 657 
110400,Cape Rodney,Waitemata,50,37,33, 740 , 660 
110500,Wellsford,Waitemata,62,52,49, 839 , 790 
110700,South Head,Waitemata,49,38,30, 776 , 612 
111100,Warkworth West,Waitemata,94,Masked,89, >950 , 947 
111200,Puhoi Valley,Waitemata,54,Masked,Masked, >950 , >950 
111300,Warkworth East,Waitemata,161,Masked,Masked, >950 , >950 
111700,Snells Beach,Waitemata,100,Masked,80, >950 , 800 
112400,Helensville,Waitemata,99,76,66, 768 , 667 
112700,Orewa North,Waitemata,63,Masked,56, >950 , 889 
112900,Orewa South,Waitemata,64,56,51, 875 , 797 
113000,Orewa Central,Waitemata,69,56,52, 812 , 754 
113600,Kingsway,Waitemata,44,Masked,37, >950 , 841 
114000,Red Beach East,Waitemata,54,Masked,51, >950 , 944 
114400,Vipond,Waitemata,44,Masked,40, >950 , 909 
114700,Kumeu Rural West,Waitemata,64,59,53, 922 , 828 
114900,Whangaparoa Central,Waitemata,47,38,34, 809 , 723 
115000,Kumeu-Huapai,Waitemata,145,Masked,128, >950 , 883 
115200,Manly West,Waitemata,46,40,33, 870 , 717 
115700,Gulf Harbour North,Waitemata,47,Masked,39, >950 , 830 
115800,Manly East,Waitemata,70,51,48, 729 , 686 
115900,Riverhead,Waitemata,65,61,61, 938 , 938 
116100,Kumeu Rural East,Waitemata,85,77,68, 906 , 800 
116200,Gulf Harbour South,Waitemata,40,36,35, 900 , 875 
116600,Paremoremo East,Waitemata,40,29,29, 725 , 725 
116700,Albany Heights,Waitemata,45,Masked,41, >950 , 911 
116800,Awaruku,Waitemata,52,Masked,48, >950 , 923 
117000,Whenuapai,Waitemata,205,178,160, 868 , 780 
117200,Torbay,Waitemata,61,Masked,54, >950 , 885 
117400,Albany West,Waitemata,44,Masked,Masked, >950 , >950 
117500,Glamorgan,Waitemata,42,Masked,37, >950 , 881 
117600,Oteha East,Waitemata,45,34,33, 756 , 733 
117900,Waiake,Waitemata,50,42,34, 840 , 680 
118000,Waitakere,Waitemata,69,62,58, 899 , 841 
118100,Albany South,Waitemata,40,Masked,37, >950 , 925 
118900,Greenhithe West,Waitemata,40,37,35, 925 , 875 
119200,Hobsonville,Waitemata,60,51,48, 850 , 800 
119600,Westgate South,Waitemata,259,210,185, 811 , 714 
119800,West Harbour West,Waitemata,553,485,418, 877 , 756 
119900,Unsworth Heights West,Waitemata,42,Masked,39, >950 , 929 
