Area,Main means of travel to work,Age group,Sex,Year,Value,Flags
"Cambridge Park-River Garden","Work at home","Total people - age group","Total people - sex","2018",84,
"Cambridge Park-River Garden","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",132,
"Cambridge Park-River Garden","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",51,
"Cambridge Park-River Garden","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",3,
"Cambridge Park-River Garden","Train","Total people - age group","Total people - sex","2018",0,
"Cambridge Park-River Garden","Bicycle","Total people - age group","Total people - sex","2018",3,
"Oaklands-St Kilda","Work at home","Total people - age group","Total people - sex","2018",96,
"Oaklands-St Kilda","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",99,
"Oaklands-St Kilda","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",15,
"Oaklands-St Kilda","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",9,
"Oaklands-St Kilda","Public bus","Total people - age group","Total people - sex","2018",0,
"Oaklands-St Kilda","Train","Total people - age group","Total people - sex","2018",0,
"Oaklands-St Kilda","Bicycle","Total people - age group","Total people - sex","2018",3,
"Pukerimu","Work at home","Total people - age group","Total people - sex","2018",186,
"Pukerimu","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",120,
"Pukerimu","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",21,
"Pukerimu","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",3,
"Pukerimu","Train","Total people - age group","Total people - sex","2018",0,
"Pukerimu","Bicycle","Total people - age group","Total people - sex","2018",6,
"Cambridge Central","Work at home","Total people - age group","Total people - sex","2018",51,
"Cambridge Central","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1878,
"Cambridge Central","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",348,
"Cambridge Central","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",99,
"Cambridge Central","Train","Total people - age group","Total people - sex","2018",3,
"Cambridge Central","Bicycle","Total people - age group","Total people - sex","2018",33,
"Te Awamutu North","Work at home","Total people - age group","Total people - sex","2018",72,
"Te Awamutu North","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",741,
"Te Awamutu North","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",240,
"Te Awamutu North","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",30,
"Te Awamutu North","Train","Total people - age group","Total people - sex","2018",0,
"Te Awamutu North","Bicycle","Total people - age group","Total people - sex","2018",18,
"Te Awamutu West","Work at home","Total people - age group","Total people - sex","2018",60,
"Te Awamutu West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",72,
"Te Awamutu West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",27,
"Te Awamutu West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",3,
"Te Awamutu West","Train","Total people - age group","Total people - sex","2018",0,
"Te Awamutu West","Bicycle","Total people - age group","Total people - sex","2018",3,
"Leamington West","Work at home","Total people - age group","Total people - sex","2018",72,
"Leamington West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",285,
"Leamington West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",66,
"Leamington West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",9,
"Leamington West","Train","Total people - age group","Total people - sex","2018",0,
"Leamington West","Bicycle","Total people - age group","Total people - sex","2018",3,
"Goodfellow Park","Work at home","Total people - age group","Total people - sex","2018",66,
"Goodfellow Park","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",243,
"Goodfellow Park","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",30,
"Goodfellow Park","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",9,
"Goodfellow Park","Train","Total people - age group","Total people - sex","2018",0,
"Goodfellow Park","Bicycle","Total people - age group","Total people - sex","2018",6,
"Leamington South","Work at home","Total people - age group","Total people - sex","2018",99,
"Leamington South","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",69,
"Leamington South","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",3,
"Leamington South","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",3,
"Leamington South","Train","Total people - age group","Total people - sex","2018",0,
"Leamington South","Bicycle","Total people - age group","Total people - sex","2018",3,
"Leamington Central","Work at home","Total people - age group","Total people - sex","2018",87,
"Leamington Central","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",39,
"Leamington Central","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",15,
"Leamington Central","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",6,
"Leamington Central","Train","Total people - age group","Total people - sex","2018",0,
"Leamington Central","Bicycle","Total people - age group","Total people - sex","2018",0,
"Leamington East","Work at home","Total people - age group","Total people - sex","2018",114,
"Leamington East","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",69,
"Leamington East","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",18,
"Leamington East","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",9,
"Leamington East","Train","Total people - age group","Total people - sex","2018",0,
"Leamington East","Bicycle","Total people - age group","Total people - sex","2018",0,
"Te Awamutu Stadium","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",279,
"Te Awamutu Stadium","Work at home","Total people - age group","Total people - sex","2018",75,
"Te Awamutu Stadium","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",150,
"Te Awamutu Stadium","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",27,
"Te Awamutu Stadium","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",9,
"Te Awamutu Stadium","Train","Total people - age group","Total people - sex","2018",0,
"Te Awamutu Stadium","Bicycle","Total people - age group","Total people - sex","2018",0,
"Te Awamutu Central","Work at home","Total people - age group","Total people - sex","2018",21,
"Te Awamutu Central","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1266,
"Te Awamutu Central","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",267,
"Te Awamutu Central","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",72,
"Te Awamutu Central","Train","Total people - age group","Total people - sex","2018",0,
"Te Awamutu Central","Bicycle","Total people - age group","Total people - sex","2018",21,
"Pekerau","Work at home","Total people - age group","Total people - sex","2018",114,
"Pekerau","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",252,
"Pekerau","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",39,
"Pekerau","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",24,
"Pekerau","Train","Total people - age group","Total people - sex","2018",0,
"Pekerau","Bicycle","Total people - age group","Total people - sex","2018",3,
"Fraser Street","Work at home","Total people - age group","Total people - sex","2018",69,
"Fraser Street","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",66,
"Fraser Street","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",21,
"Fraser Street","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",3,
"Fraser Street","Train","Total people - age group","Total people - sex","2018",0,
"Fraser Street","Bicycle","Total people - age group","Total people - sex","2018",0,
"Sherwin Park","Work at home","Total people - age group","Total people - sex","2018",72,
"Sherwin Park","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",198,
"Sherwin Park","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",24,
"Sherwin Park","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",12,
"Sherwin Park","Train","Total people - age group","Total people - sex","2018",0,
"Sherwin Park","Bicycle","Total people - age group","Total people - sex","2018",3,
"St Leger","Work at home","Total people - age group","Total people - sex","2018",45,
"St Leger","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",36,
"St Leger","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",12,
"St Leger","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",3,
"St Leger","Train","Total people - age group","Total people - sex","2018",0,
"St Leger","Bicycle","Total people - age group","Total people - sex","2018",0,
"Rotoorangi","Work at home","Total people - age group","Total people - sex","2018",339,
"Rotoorangi","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",144,
"Rotoorangi","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",39,
"Rotoorangi","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",6,
"Rotoorangi","Train","Total people - age group","Total people - sex","2018",0,
"Rotoorangi","Bicycle","Total people - age group","Total people - sex","2018",6,
"Tokanui","Work at home","Total people - age group","Total people - sex","2018",39,
"Tokanui","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",132,
"Tokanui","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",12,
"Tokanui","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",0,
"Tokanui","Train","Total people - age group","Total people - sex","2018",0,
"Tokanui","Bicycle","Total people - age group","Total people - sex","2018",3,
"Kihikihi Central","Work at home","Total people - age group","Total people - sex","2018",87,
"Kihikihi Central","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",102,
"Kihikihi Central","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",39,
"Kihikihi Central","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",6,
