Area,Main means of travel to work,Age group,Sex,Year,Value,Flags
"Meadowbank West","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1413,
"Meadowbank West","Work at home","Total people - age group","Total people - sex","2018",159,
"Meadowbank West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",753,
"Meadowbank West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",141,
"Meadowbank West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",21,
"Meadowbank West","Public bus","Total people - age group","Total people - sex","2018",63,
"Meadowbank West","Train","Total people - age group","Total people - sex","2018",210,
"Meadowbank West","Bicycle","Total people - age group","Total people - sex","2018",30,
"Meadowbank West","Walk or jog","Total people - age group","Total people - sex","2018",15,
"Meadowbank West","Ferry","Total people - age group","Total people - sex","2018",0,
"Meadowbank West","Other","Total people - age group","Total people - sex","2018",21,
"Hillsborough West (Auckland)","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",2079,
"Hillsborough West (Auckland)","Work at home","Total people - age group","Total people - sex","2018",99,
"Hillsborough West (Auckland)","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1344,
"Hillsborough West (Auckland)","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",150,
"Hillsborough West (Auckland)","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",75,
"Hillsborough West (Auckland)","Public bus","Total people - age group","Total people - sex","2018",318,
"Hillsborough West (Auckland)","Train","Total people - age group","Total people - sex","2018",6,
"Waikowhai North","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1593,
"Waikowhai North","Work at home","Total people - age group","Total people - sex","2018",84,
"Waikowhai North","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1038,
"Waikowhai North","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",108,
"Waikowhai North","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",102,
"Waikowhai North","Public bus","Total people - age group","Total people - sex","2018",195,
"Waikowhai North","Train","Total people - age group","Total people - sex","2018",9,
"Waikowhai North","Bicycle","Total people - age group","Total people - sex","2018",21,
"Waikowhai North","Walk or jog","Total people - age group","Total people - sex","2018",18,
"Waikowhai North","Ferry","Total people - age group","Total people - sex","2018",0,
"Remuera East","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1503,
"Remuera East","Work at home","Total people - age group","Total people - sex","2018",216,
"Remuera East","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",852,
"Remuera East","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",159,
"Remuera East","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",30,
"Remuera East","Public bus","Total people - age group","Total people - sex","2018",84,
"Remuera East","Train","Total people - age group","Total people - sex","2018",87,
"Remuera East","Bicycle","Total people - age group","Total people - sex","2018",33,
"Remuera East","Walk or jog","Total people - age group","Total people - sex","2018",30,
"Remuera East","Ferry","Total people - age group","Total people - sex","2018",0,
"Remuera East","Other","Total people - age group","Total people - sex","2018",12,
"Waikowhai South","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1215,
"Waikowhai South","Work at home","Total people - age group","Total people - sex","2018",108,
"Waikowhai South","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",765,
"Waikowhai South","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",147,
"Waikowhai South","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",39,
"Waikowhai South","Public bus","Total people - age group","Total people - sex","2018",117,
"Waikowhai South","Train","Total people - age group","Total people - sex","2018",6,
"Waikowhai South","Bicycle","Total people - age group","Total people - sex","2018",3,
"Waikowhai South","Walk or jog","Total people - age group","Total people - sex","2018",15,
"Waikowhai South","Ferry","Total people - age group","Total people - sex","2018",0,
"Waikowhai South","Other","Total people - age group","Total people - sex","2018",18,
"Royal Oak West (Auckland)","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1335,
"Royal Oak West (Auckland)","Work at home","Total people - age group","Total people - sex","2018",120,
"Royal Oak West (Auckland)","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",762,
