"SA22023_V1_00","SA22023_V1_00_NAME","SA22023_V1_00_NAME_ASCII","leave_SA2","ur_address_18","wp_address_18","ur_address_23","wp_address_23"
"100100","North Cape","North Cape","0",330,330,438,438
"100100","North Cape","North Cape","1",180,69,228,87
"100100","North Cape","North Cape","total",507,399,666,528
"100200","Rangaunu Harbour","Rangaunu Harbour","0",354,354,381,381
"100200","Rangaunu Harbour","Rangaunu Harbour","1",450,252,546,282
"100200","Rangaunu Harbour","Rangaunu Harbour","total",804,609,927,663
"100301","Inlets Far North District","Inlets Far North District","0",-999,-999,-999,-999
"100301","Inlets Far North District","Inlets Far North District","1",-999,12,9,21
"100301","Inlets Far North District","Inlets Far North District","total",9,18,9,21
"100400","Karikari Peninsula","Karikari Peninsula","0",177,177,255,255
"100400","Karikari Peninsula","Karikari Peninsula","1",216,57,315,54
"100400","Karikari Peninsula","Karikari Peninsula","total",393,234,567,306
"100500","Tangonge","Tangonge","0",168,168,135,135
"100500","Tangonge","Tangonge","1",267,168,315,162
"100500","Tangonge","Tangonge","total",435,336,447,297
"100600","Ahipara","Ahipara","0",90,90,135,135
"100600","Ahipara","Ahipara","1",288,30,324,36
"100600","Ahipara","Ahipara","total",378,120,459,171
"100700","Kaitāia East","Kaitaia East","0",393,393,450,450
"100700","Kaitāia East","Kaitaia East","1",195,1590,282,1935
"100700","Kaitāia East","Kaitaia East","total",591,1986,732,2385
"100800","Kaitāia West","Kaitaia West","0",273,273,327,327
"100800","Kaitāia West","Kaitaia West","1",555,612,633,780
"100800","Kaitāia West","Kaitaia West","total",831,888,963,1110
"100900","Rangitihi","Rangitihi","0",99,99,132,132
"100900","Rangitihi","Rangitihi","1",243,96,285,141
"100900","Rangitihi","Rangitihi","total",342,198,414,273
"101000","Oruru-Parapara","Oruru-Parapara","0",99,99,138,138
"101000","Oruru-Parapara","Oruru-Parapara","1",153,51,183,33
"101000","Oruru-Parapara","Oruru-Parapara","total",252,150,321,168
"101101","Doubtless Bay","Doubtless Bay","0",366,366,501,501
"101101","Doubtless Bay","Doubtless Bay","1",252,288,348,345
"101101","Doubtless Bay","Doubtless Bay","total",615,654,849,846
"101200","Herekino-Takahue","Herekino-Takahue","0",126,126,162,162
"101200","Herekino-Takahue","Herekino-Takahue","1",189,9,228,12
"101200","Herekino-Takahue","Herekino-Takahue","total",315,135,393,174
"101300","Peria","Peria","0",120,120,144,144
"101300","Peria","Peria","1",207,18,249,33
"101300","Peria","Peria","total",324,138,396,180
"101400","Taemaro-Oruaiti","Taemaro-Oruaiti","0",99,99,150,150
"101400","Taemaro-Oruaiti","Taemaro-Oruaiti","1",141,42,198,42
"101400","Taemaro-Oruaiti","Taemaro-Oruaiti","total",237,138,345,192
"101500","Whakapaku","Whakapaku","0",114,114,117,117
"101500","Whakapaku","Whakapaku","1",117,33,120,45
"101500","Whakapaku","Whakapaku","total",231,144,240,165
"101600","Hokianga North","Hokianga North","0",90,90,123,123
"101600","Hokianga North","Hokianga North","1",69,18,90,15
"101600","Hokianga North","Hokianga North","total",162,108,213,138
"101700","Kohukohu-Broadwood","Kohukohu-Broadwood","0",108,108,135,135
"101700","Kohukohu-Broadwood","Kohukohu-Broadwood","1",75,30,72,39
"101700","Kohukohu-Broadwood","Kohukohu-Broadwood","total",183,135,207,174
"101801","Whakarara","Whakarara","0",225,225,240,240
"101801","Whakarara","Whakarara","1",195,87,240,120
"101801","Whakarara","Whakarara","total",420,309,480,360
"101900","Kāeo","Kaeo","0",204,204,204,204
"101900","Kāeo","Kaeo","1",180,87,204,129
"101900","Kāeo","Kaeo","total",381,285,411,333
"102000","Omahuta Forest-Horeke","Omahuta Forest-Horeke","0",141,141,180,180
"102000","Omahuta Forest-Horeke","Omahuta Forest-Horeke","1",114,33,153,42
"102000","Omahuta Forest-Horeke","Omahuta Forest-Horeke","total",252,174,336,225
"102100","Hokianga South","Hokianga South","0",192,192,276,276
"102100","Hokianga South","Hokianga South","1",117,120,135,117
"102100","Hokianga South","Hokianga South","total",309,312,411,393
"102201","Lake Manuwai-Kapiro","Lake Manuwai-Kapiro","0",312,312,405,405
"102201","Lake Manuwai-Kapiro","Lake Manuwai-Kapiro","1",609,315,624,378
"102201","Lake Manuwai-Kapiro","Lake Manuwai-Kapiro","total",921,630,1032,780
"102300","Ōkaihau","Okaihau","0",192,192,252,252
"102300","Ōkaihau","Okaihau","1",300,114,336,105
"102300","Ōkaihau","Okaihau","total",492,306,585,354
"102401","Rangitane-Purerua","Rangitane-Purerua","0",186,186,234,234
"102401","Rangitane-Purerua","Rangitane-Purerua","1",330,72,363,75
"102401","Rangitane-Purerua","Rangitane-Purerua","total",516,261,597,309
"102501","Waipapa","Waipapa","0",117,117,153,153
"102501","Waipapa","Waipapa","1",219,558,216,813
"102501","Waipapa","Waipapa","total",339,675,369,966
"102600","Puketotara","Puketotara","0",291,291,399,399
"102600","Puketotara","Puketotara","1",432,342,519,411
"102600","Puketotara","Puketotara","total",723,633,915,810
"102700","Waimā Forest","Waima Forest","0",78,78,105,105
"102700","Waimā Forest","Waima Forest","1",147,21,159,21
"102700","Waimā Forest","Waima Forest","total",222,99,267,129
"102801","Riverview","Riverview","0",225,225,351,351
"102801","Riverview","Riverview","1",579,255,651,294
"102801","Riverview","Riverview","total",801,477,1005,645
"102900","Waipoua Forest","Waipoua Forest","0",246,246,213,213
"102900","Waipoua Forest","Waipoua Forest","1",90,48,141,42
"102900","Waipoua Forest","Waipoua Forest","total",336,291,351,258
"103000","Kerikeri Central","Kerikeri Central","0",447,447,549,549
